SnapshotDate,SKU,WarehouseID,OnHandQty,OnOrderQty
01/01/2025,SKU-1001,WH-01,1635,0
01/01/2025,SKU-1001,WH-02,601,0
01/01/2025,SKU-1001,WH-03,1654,0
01/01/2025,SKU-1001,WH-04,2115,0
01/01/2025,SKU-1002,WH-01,2715,0
01/01/2025,SKU-1002,WH-02,2823,1000
01/01/2025,SKU-1002,WH-03,1044,0
01/01/2025,SKU-1002,WH-04,1633,500
01/01/2025,SKU-1003,WH-01,2782,0
01/01/2025,SKU-1003,WH-02,2077,0
01/01/2025,SKU-1003,WH-03,2336,1000
01/01/2025,SKU-1003,WH-04,1566,500
01/01/2025,SKU-1004,WH-01,573,500
01/01/2025,SKU-1004,WH-02,771,0
01/01/2025,SKU-1004,WH-03,1011,0
01/01/2025,SKU-1004,WH-04,1611,0
01/01/2025,SKU-1005,WH-01,1408,1000
01/01/2025,SKU-1005,WH-02,225,1000
01/01/2025,SKU-1005,WH-03,476,1000
01/01/2025,SKU-1005,WH-04,677,1000
01/01/2025,SKU-1006,WH-01,1677,500
01/01/2025,SKU-1006,WH-02,1138,0
01/01/2025,SKU-1006,WH-03,3140,1000
01/01/2025,SKU-1006,WH-04,2559,1000
01/01/2025,SKU-1007,WH-01,2242,1000
01/01/2025,SKU-1007,WH-02,1245,0
01/01/2025,SKU-1007,WH-03,2705,0
01/01/2025,SKU-1007,WH-04,1919,0
01/01/2025,SKU-1008,WH-01,2337,0
01/01/2025,SKU-1008,WH-02,2693,1000
01/01/2025,SKU-1008,WH-03,2040,0
01/01/2025,SKU-1008,WH-04,1367,0
01/01/2025,SKU-1009,WH-01,1271,500
01/01/2025,SKU-1009,WH-02,581,500
01/01/2025,SKU-1009,WH-03,852,0
01/01/2025,SKU-1009,WH-04,402,500
01/01/2025,SKU-1010,WH-01,2494,0
01/01/2025,SKU-1010,WH-02,1324,0
01/01/2025,SKU-1010,WH-03,2902,0
01/01/2025,SKU-1010,WH-04,2132,0
01/01/2025,SKU-1011,WH-01,2973,0
01/01/2025,SKU-1011,WH-02,2302,1000
01/01/2025,SKU-1011,WH-03,1286,0
01/01/2025,SKU-1011,WH-04,449,0
01/01/2025,SKU-1012,WH-01,1068,1000
01/01/2025,SKU-1012,WH-02,1031,0
01/01/2025,SKU-1012,WH-03,1058,1000
01/01/2025,SKU-1012,WH-04,1045,0
01/01/2025,SKU-1013,WH-01,2113,0
01/01/2025,SKU-1013,WH-02,1647,0
01/01/2025,SKU-1013,WH-03,2706,500
01/01/2025,SKU-1013,WH-04,2670,0
01/01/2025,SKU-1014,WH-01,919,0
01/01/2025,SKU-1014,WH-02,2959,0
01/01/2025,SKU-1014,WH-03,904,0
01/01/2025,SKU-1014,WH-04,527,0
01/01/2025,SKU-1015,WH-01,2516,0
01/01/2025,SKU-1015,WH-02,1453,0
01/01/2025,SKU-1015,WH-03,1720,0
