OrderID,LineNumber,OrderDate,PromisedDate,ShipDate,CustomerID,SKU,WarehouseID,QtyOrdered,QtyShipped,UnitPrice,DiscountPct
700001,1,01/01/2025,03/01/2025,02/01/2025,CUST-115,SKU-1016,WH-02,200,180,19.18,0.1
700001,2,01/01/2025,03/01/2025,02/01/2025,CUST-115,SKU-1006,WH-02,150,150,54.97,0.125
700001,3,01/01/2025,03/01/2025,02/01/2025,CUST-115,SKU-1004,WH-02,25,25,44.52,0
700001,4,01/01/2025,03/01/2025,02/01/2025,CUST-115,SKU-1015,WH-02,50,50,27.45,0
700002,1,01/01/2025,04/01/2025,06/01/2025,CUST-141,SKU-1006,WH-02,75,75,54.97,0.1
700002,2,01/01/2025,04/01/2025,06/01/2025,CUST-141,SKU-1020,WH-02,20,20,72.1,0
700002,3,01/01/2025,04/01/2025,06/01/2025,CUST-141,SKU-1001,WH-02,150,150,59.63,0.05
700002,4,01/01/2025,04/01/2025,06/01/2025,CUST-141,SKU-1001,WH-02,100,100,59.63,0.05
700003,1,01/01/2025,04/01/2025,03/01/2025,CUST-109,SKU-1006,WH-04,200,200,54.97,0.125
700003,2,01/01/2025,04/01/2025,03/01/2025,CUST-109,SKU-1004,WH-04,200,200,44.52,0
700003,3,01/01/2025,04/01/2025,03/01/2025,CUST-109,SKU-1008,WH-04,75,75,12.26,0.125
700004,1,01/01/2025,03/01/2025,03/01/2025,CUST-114,SKU-1010,WH-02,150,150,75.49,0.05
700005,1,01/01/2025,06/01/2025,05/01/2025,CUST-129,SKU-1006, WH-02,10,10,54.97,0.05
700005,2,01/01/2025,06/01/2025,05/01/2025,CUST-129,SKU-1006,WH-01,75,67,54.97,0.05
700005,3,01/01/2025,06/01/2025,05/01/2025,CUST-129,SKU-1010,WH-01,150,150,75.49,0
700005,4,01/01/2025,06/01/2025,05/01/2025,CUST-129,SKU-1022,WH-01,200,200,11.23,0
700006,1,01/01/2025,05/01/2025,04/01/2025,CUST-151,SKU-1001,WH-03,100,100,59.63,0
700007,1,02/01/2025,07/01/2025,07/01/2025,CUST-105,SKU-1024,WH-01,200,200,68.06,0
700007,2,02/01/2025,07/01/2025,07/01/2025,CUST-105,SKU-1001,WH-01,50,45,59.63,0.1
700007,3,02/01/2025,07/01/2025,07/01/2025,CUST-105,SKU-1004,WH-01,25,25,44.52,0.1
700007,4,02/01/2025,07/01/2025,07/01/2025,CUST-105,SKU-1002,WH-01,20,20,54.08,0.125
700008,1,02/01/2025,04/01/2025,03/01/2025,CUST-136,SKU-1022,WH-04,150,150,11.23,0.1
700009,1,02/01/2025,06/01/2025,06/01/2025,CUST-112,SKU-1010,WH-04,20,20,75.49,0.125
700009,2,02/01/2025,06/01/2025,06/01/2025,CUST-112,SKU-1001,WH-04,20,20,59.63,0.1
700009,3,02/01/2025,06/01/2025,06/01/2025,CUST-112,SKU-1022,WH-04,25,25,11.23,0
700010,1,02/01/2025,06/01/2025,05/01/2025,CUST-149,SKU-1013,WH-03,75,67,75.26,0
700010,2,02/01/2025,06/01/2025,05/01/2025,CUST-149,SKU-1024,WH-03,75,60,68.06,0.125
700010,3,02/01/2025,06/01/2025,05/01/2025,CUST-149,SKU-1014,WH-03,50,50,100.88,0
700011,1,02/01/2025,04/01/2025,03/01/2025,CUST-158,SKU-1018,WH-01,75,75,66.93,0
700012,1,02/01/2025,04/01/2025,04/01/2025,CUST-116,SKU-1010,WH-01,150,150,75.49,0
700012,2,02/01/2025,04/01/2025,04/01/2025,CUST-116,SKU-1021,WH-01,150,150,50.68,0.05
700013,1,02/01/2025,04/01/2025,04/01/2025,CUST-120,SKU-1015,WH-04,25,25,27.45,0
700013,2,02/01/2025,04/01/2025,04/01/2025,CUST-120,SKU-1008,WH-04,150,150,12.26,0
700013,3,02/01/2025,04/01/2025,04/01/2025,CUST-120,SKU-1013,WH-04,20,20,$75.26,0
700013,4,02/01/2025,04/01/2025,04/01/2025,CUST-120,SKU-1018,WH-04,150,150,66.93,0.05
700014,1,02/01/2025,09/01/2025,14/01/2025,CUST-147,SKU-1007,WH-03,200,200,66.6,0
700015,1,02/01/2025,07/01/2025,12/01/2025,CUST-115,SKU-1008,WH-03,10,10,12.26,0
700015,2,02/01/2025,07/01/2025,12/01/2025,CUST-115,SKU-1007,WH-03,10,10,66.6,0.125
700016,1,03/01/2025,10/01/2025,10/01/2025,CUST-150,SKU-1011,WH-01,75,75,39.0,0.125
700017,1,03/01/2025,06/01/2025,07/01/2025,CUST-113,SKU-1006,WH-03,50,45,54.97,0
700017,2,03/01/2025,06/01/2025,07/01/2025,CUST-113,SKU-1004,WH-03,100,100,44.52,0.05
700017,3,03/01/2025,06/01/2025,07/01/2025,CUST-113,SKU-1007,WH-03,200,200,66.6,0
700017,4,03/01/2025,06/01/2025,07/01/2025,CUST-113,SKU-1001,WH-03,10,10,59.63,0.05
700018,1,03/01/2025,10/01/2025,11/01/2025,CUST-119,SKU-1010,WH-03,75,75,75.49,0
700018,2,03/01/2025,10/01/2025,11/01/2025,CUST-119,SKU-1005,WH-03,75,75,77.98,0
700018,3,03/01/2025,10/01/2025,11/01/2025,CUST-119,SKU-1005,WH-03,200,200,77.98,0
700018,4,03/01/2025,10/01/2025,11/01/2025,CUST-119,SKU-1013,WH-03,20,20,75.26,0.1
700019,1,03/01/2025,06/01/2025,05/01/2025,CUST-134,SKU-1004,WH-02,50,50,44.52,0.125
700020,1,03/01/2025,08/01/2025,08/01/2025,CUST-140,SKU-1015,WH-01,75,75,27.45,0.05
700020,2,03/01/2025,08/01/2025,08/01/2025,CUST-140,SKU-1010,WH-01,150,150,75.49,0.1
700020,3,03/01/2025,08/01/2025,08/01/2025,CUST-140,SKU-1005,WH-01,50,50,77.98,0
700021,1,03/01/2025,06/01/2025,05/01/2025,CUST-130,SKU-1024,WH-03,100,60,68.06,0
700021,2,03/01/2025,06/01/2025,05/01/2025,CUST-130,SKU-1022,WH-03,75,75,11.23,0
700021,3,03/01/2025,06/01/2025,05/01/2025,CUST-130,SKU-1015,WH-03,50,50,27.45,0.1
700021,4,03/01/2025,06/01/2025,05/01/2025,CUST-130,SKU-1023,WH-03,100,100,19.51,0.1
700022,1,03/01/2025,08/01/2025,07/01/2025,CUST-106,SKU-1024,WH-01,10,10,68.06,0.125
700023,1,06/01/2025,08/01/2025,07/01/2025,CUST-115,SKU-1005,WH-01,20,20,77.98,0
700024,1,06/01/2025,11/01/2025,12/01/2025,CUST-158,SKU-1009,WH-02,75,,32.15,0
700025,1,06/01/2025,13/01/2025,12/01/2025,CUST-158,SKU-1017,WH-04,200,200,44.62,0.1
700025,2,06/01/2025,13/01/2025,12/01/2025,CUST-158,SKU-1023,WH-04,25,25,19.51,0.1
700026,1,06/01/2025,08/01/2025,10/01/2025,CUST-106,SKU-1007,WH-04,100,100,66.6,0.05
700027,1,06/01/2025,09/01/2025,08/01/2025,CUST-156,SKU-1018,WH-04,200,200,66.93,0.125
700027,2,06/01/2025,09/01/2025,08/01/2025,CUST-156,SKU-1019,WH-04,20,20,68.25,0
700027,3,06/01/2025,09/01/2025,08/01/2025,CUST-156,SKU-1021,WH-04,25,25,50.68,0
700027,4,06/01/2025,09/01/2025,08/01/2025,CUST-156,SKU-1006,WH-04,20,20,54.97,0
700028,1,06/01/2025,10/01/2025,15/01/2025,CUST-137,SKU-1022,WH-04,100,100,11.23,0.05
700029,1,06/01/2025,10/01/2025,10/01/2025,CUST-148,SKU-1022,WH-02,25,22,11.23,0.125
700029,2,06/01/2025,10/01/2025,10/01/2025,CUST-148,SKU-1005,WH-02,25,25,77.98,0.125
700029,3,06/01/2025,10/01/2025,10/01/2025,CUST-148,SKU-1012,WH-02,150,150,54.11,0.125
700029,4,06/01/2025,10/01/2025,10/01/2025,CUST-148,SKU-1005,WH-02,200,200,77.98,0
700030,1,06/01/2025,13/01/2025,13/01/2025,CUST-134,SKU-1023,WH-01,100,100,19.51,0.1
700030,2,06/01/2025,13/01/2025,13/01/2025,CUST-134,SKU-1010,WH-01,20,20,75.49,0
700030,3,06/01/2025,13/01/2025,13/01/2025,CUST-134,SKU-1016,WH-01,50,50,19.18,0
700031,1,07/01/2025,10/01/2025,11/01/2025,CUST-103,SKU-1018,WH-02,100,100,66.93,0.05
700031,2,07/01/2025,10/01/2025,11/01/2025,CUST-103,SKU-1019,WH-02,75,75,68.25,0
700031,3,07/01/2025,10/01/2025,11/01/2025,CUST-103,SKU-1022,WH-02,150,150,11.23,0
700032,1,07/01/2025,11/01/2025,16/01/2025,CUST-112,SKU-1018,WH-04,25,15,66.93,0.125
700033,1,07/01/2025,09/01/2025,08/01/2025,CUST-116,SKU-1006,WH-01,10,4,54.97,0
700033,2,07/01/2025,09/01/2025,08/01/2025,CUST-116,SKU-1019,WH-01,25,25,68.25,0.1
700033,3,07/01/2025,09/01/2025,08/01/2025,CUST-116,SKU-1022,WH-01,25,25,11.23,0
700034,1,07/01/2025,11/01/2025,11/01/2025,CUST-139,SKU-1007,WH-03,20,20,66.6,0
700034,2,07/01/2025,11/01/2025,11/01/2025,CUST-139,SKU-1010,WH-03,10,10,75.49,0
700035,1,08/01/2025,13/01/2025,12/01/2025,CUST-146,SKU-1015,WH-01,150,150,27.45,0
700035,2,08/01/2025,13/01/2025,12/01/2025,CUST-146,SKU-1019,WH-01,150,150,68.25,0.1
700036,1,08/01/2025,10/01/2025,12/01/2025,CUST-111,SKU-1017,WH-04,20,20,44.62,0
700036,2,08/01/2025,10/01/2025,12/01/2025,CUST-111,SKU-1015,WH-04,20,20,27.45,0
700037,1,08/01/2025,10/01/2025,10/01/2025,CUST-126,SKU-1021,WH-01,75,75,50.68,0.1
700037,2,08/01/2025,10/01/2025,10/01/2025,CUST-126,SKU-1021,WH-01,25,22,50.68,0.1
700037,3,08/01/2025,10/01/2025,10/01/2025,CUST-126,SKU-1020,WH-01,100,100,72.1,0
700037,4,08/01/2025,10/01/2025,10/01/2025,CUST-126,SKU-1022,WH-01,50,50,11.23,0
700038,1,08/01/2025,15/01/2025,14/01/2025,CUST-104,SKU-1020,WH-01,10,10,72.1,0
700038,2,08/01/2025,15/01/2025,14/01/2025,CUST-104,sku-1021,WH-01,20,20,50.68,0.125
700039,1,08/01/2025,13/01/2025,18/01/2025,CUST-109,SKU-1010,WH-02,150,150,75.49,0.05
700040,1,08/01/2025,12/01/2025,11/01/2025,CUST-122,SKU-1011,WH-02,50,50,39.0,0.05
700040,2,08/01/2025,12/01/2025,11/01/2025,CUST-122,SKU-1005,WH-02,75,75,77.98,0
700040,3,08/01/2025,12/01/2025,11/01/2025,CUST-122,SKU-1018,WH-02,100,100,66.93,0.1
