PONumber,LineNumber,SupplierID,SKU,WarehouseID,OrderDate,PromisedDate,ReceivedDate,QtyOrdered,QtyReceived
90001,1,SUP-02,SKU-1001,WH-03,06/01/2025,20/01/2025,20/01/2025,500,500
90001,2,SUP-02,SKU-1019,WH-04,06/01/2025,20/01/2025,20/01/2025,2000,2000
90001,3,SUP-02,SKU-1013,WH-02,06/01/2025,20/01/2025,20/01/2025,1500,1350
90002,1,SUP-04,SKU-1003,WH-03,06/01/2025,03/02/2025,05/02/2025,2000,2000
90002,2,SUP-04,SKU-1021,WH-02,06/01/2025,03/02/2025,05/02/2025,500,500
90003,1,SUP-04,SKU-1009,WH-01,06/01/2025,03/02/2025,03/02/2025,500,250
90003,2,SUP-04,SKU-1021,WH-04,06/01/2025,03/02/2025,03/02/2025,2000,2000
90004,1,SUP-05,SKU-1010,WH-03,06/01/2025,27/01/2025,27/01/2025,2000,2000
90004,2,SUP-05,SKU-1016,WH-03,06/01/2025,27/01/2025,27/01/2025,1000,1000
90004,3,SUP-05,SKU-1004,WH-01,06/01/2025,27/01/2025,27/01/2025,1000,900
90005,1,SUP-03,SKU-1020,WH-04,06/01/2025,16/01/2025,16/01/2025,1000,1000
90005,2,SUP-03,SKU-1008,WH-01,06/01/2025,16/01/2025,16/01/2025,1500,1500
90005,3,SUP-03,SKU-1002,WH-03,06/01/2025,16/01/2025,16/01/2025,500,500
90006,1,SUP-06,SKU-1005,WH-02,06/01/2025,20/02/2025,20/02/2025,2000,1500
90007,1,SUP-02,SKU-1001,WH-04,06/01/2025,20/01/2025,20/01/2025,2000,2000
90008,1,SUP-01,SKU-1006,WH-04,06/01/2025,13/01/2025,13/01/2025,1000,1000
90008,2,SUP-01,SKU-1024,WH-04,06/01/2025,13/01/2025,13/01/2025,500,500
90009,1,SUP-06,SKU-1023,WH-04,06/01/2025,20/02/2025,20/02/2025,1500,1500
90009,2,SUP-06,SKU-1023,WH-02,06/01/2025,20/02/2025,20/02/2025,2000,2000
90009,3,SUP-06,SKU-1017,WH-01,06/01/2025,20/02/2025,20/02/2025,1000,1000
90010,1,SUP-03,SKU-1020,WH-01,13/01/2025,23/01/2025,23/01/2025,500,500
90011,1,SUP-05,SKU-1022,WH-04,13/01/2025,03/02/2025,10/02/2025,2000,2000
90011,2,SUP-05,SKU-1010,WH-02,13/01/2025,03/02/2025,10/02/2025,1500,1500
90011,3,SUP-05,SKU-1004,WH-01,13/01/2025,03/02/2025,10/02/2025,500,500
90012,1,SUP-03,SKU-1014,WH-04,13/01/2025,23/01/2025,23/01/2025,1500,1500
90012,2,SUP-03,SKU-1020,WH-02,13/01/2025,23/01/2025,23/01/2025,1000,1000
90013,1,SUP-02,SKU-1019,WH-02,13/01/2025,27/01/2025,27/01/2025,1500,1500
90013,2,SUP-02,SKU-1001,WH-01,13/01/2025,27/01/2025,27/01/2025,500,500
90014,1,SUP-04,SKU-1015,WH-03,13/01/2025,10/02/2025,10/02/2025,2000,2000
90014,2,SUP-04,SKU-1003,WH-04,13/01/2025,10/02/2025,10/02/2025,1000,1000
90015,1,SUP-06,SKU-1005,WH-03,13/01/2025,27/02/2025,27/02/2025,2000,2000
90015,2,SUP-06,SKU-1023,WH-01,13/01/2025,27/02/2025,27/02/2025,1000,1000
90016,1,SUP-01,SKU-1024,WH-01,13/01/2025,20/01/2025,20/01/2025,1000,1000
90016,2,SUP-01,SKU-1012,WH-02,13/01/2025,20/01/2025,20/01/2025,1500,1500
90017,1,SUP-02,SKU-1013,WH-02,13/01/2025,27/01/2025,27/01/2025,500,250
90018,1,SUP-04,SKU-1003,WH-04,13/01/2025,10/02/2025,10/02/2025,2000,2000
90019,1,SUP-03,SKU-1020,WH-02,13/01/2025,23/01/2025,23/01/2025,1000,750
90019,2,SUP-03,SKU-1002,WH-02,13/01/2025,23/01/2025,23/01/2025,1000,1000
90019,3,SUP-03,SKU-1014,WH-03,13/01/2025,23/01/2025,23/01/2025,1500,1500
90020,1,SUP-01,SKU-1024,WH-02,20/01/2025,27/01/2025,27/01/2025,1500,1500
90020,2,SUP-01,SKU-1012,WH-04,20/01/2025,27/01/2025,27/01/2025,2000,2000
90021,1,SUP-02,SKU-1013,WH-03,20/01/2025,03/02/2025,03/02/2025,500,500
90021,2,SUP-02,SKU-1013,WH-02,20/01/2025,03/02/2025,03/02/2025,500,500
90021,3,SUP-02,SKU-1019,WH-02,20/01/2025,03/02/2025,03/02/2025,500,500
90022,1,SUP-02,SKU-1013,WH-03,20/01/2025,03/02/2025,03/02/2025,2000,2000
90022,2,SUP-02,SKU-1019,WH-03,20/01/2025,03/02/2025,03/02/2025,2000,2000
90023,1,SUP-05,SKU-1022,WH-01,20/01/2025,10/02/2025,10/02/2025,500,375
90024,1,SUP-05,SKU-1004,WH-02,20/01/2025,10/02/2025,10/02/2025,500,450
90024,2,SUP-05,SKU-1016,WH-01,20/01/2025,10/02/2025,10/02/2025,1000,500
90025,1,SUP-04,SKU-1021,WH-01,20/01/2025,17/02/2025,19/02/2025,1500,1500
90026,1,SUP-03,SKU-1014,WH-01,20/01/2025,30/01/2025,30/01/2025,500,500
90027,1,SUP-05,SKU-1022,WH-01,20/01/2025,10/02/2025,10/02/2025,1500,1500
90027,2,SUP-05,SKU-1022,WH-02,20/01/2025,10/02/2025,10/02/2025,500,500
